"Rk,Player,Tm,2018-19,2019-20,2020-21,2021-22,2022-23,2023-24,Signed Using,Guaranteed"
"64,Reggie Jackson\jacksre01,DET,$17043478,$18086956,,,,,Bird Rights,$35130434"
"65,Evan Fournier\fournev01,ORL,$17000000,$17000000,$17000000,,,,Cap Space,$34000000"
"66,Bismack Biyombo\biyombi01,CHO,$17000000,$17000000,,,,,Cap Space,$17000000"
"67,Derrick Favors\favorde01,UTA,$16900000,$16900000,,,,,,$16000000"
"68,Jonas Valanciunas\valanjo01,MEM,$16539326,$17617977,,,,,1st Round Pick,$16539326"
"69,Gary Harris\harriga01,DEN,$16517857,$17839286,$19160714,$20482143,,,1st Round Pick,$74000000"
"70,Andre Iguodala\iguodan01,GSW,$16000000,$17185185,,,,,Bird Rights,$33185185"
"71,Timofey Mozgov\mozgoti01,ORL,$16000000,$16720000,,,,,Cap Space,$32720000"
"72,Ian Mahinmi\mahinia01,WAS,$15944154,$15450051,,,,,Cap Space,$31394205"
"73,Dennis Schroder\schrode01,OKC,$15500000,$15500000,$15500000,,,,1st Round Pick,$46500000"
"74,DeMarre Carroll\carrode01,BRK,$15400000,,,,,,Cap Space,$15400000"
"75,Clint Capela\capelca01,HOU,$15293104,$16456522,$17500000,$18543478,$19586957,,,$87380061"
"76,Gorgui Dieng\dienggo01,MIN,$15170787,$16229213,$17287640,,,,1st Round Pick,$48687640"
"77,Pau Gasol\gasolpa01,SAS,$15100000,$5100000,,,,,,$20200000"
"78,Eric Bledsoe\bledser01,MIL,$15000000,$15625000,$16875000,$18125000,$19375000,,Bird Rights,$85000000"
"79,Trevor Ariza\arizatr01,WAS,$15000000,,,,,,Cap Space,$15000000"
"80,Ricky Rubio\rubiori01,UTA,$14975000,,,,,,1st Round Pick,$14975000"
"81,Tobias Harris\harrito02,PHI,$14800000,,,,,,Bird Rights,$14800000"
"82,J.R. Smith\smithjr01,CLE,$14720000,$15680000,,,,,Bird Rights,$18590000"
"83,James Johnson\johnsja01,MIA,$14651700,$15349400,$16047100,,,,Cap space,$30001100"
"84,Brandon Knight\knighbr03,CLE,$14631250,$15643750,,,,,,$30275000"
"85,Robin Lopez\lopezro01,CHI,$14357750,,,,,,Cap Space,$14357750"
"86,Luol Deng\denglu01,LAL,$14354067,$4990000,$4990000,$4990000,,,,$29324067"
"87,Marvin Williams\willima02,CHO,$14087500,$15006250,,,,,Cap Space,$14087500"
"88,Taj Gibson\gibsota01,MIN,$14000000,,,,,,Cap space,$14000000"
"89,Jeremy Lin\linje01,ATL,$13768421,,,,,,,$13768421"
"90,Thaddeus Young\youngth01,IND,$13764045,,,,,,Bird Rights,$13764045"
"91,Kenneth Faried\farieke01,BRK,$13764045,,,,,,,$13764045"
"92,Tyson Chandler\chandty01,PHO,$13585000,,,,,,,$13585000"
"93,Marcin Gortat\gortama01,LAC,$13565218,,,,,,,$13565218"
"94,Cody Zeller\zelleco01,CHO,$13528090,$14471910,$15415730,,,,1st Round Pick,$43415730"
