Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
26,Marvin Bagley,PF,19,SAC,47,1165,18.2,0.566,0.127,0.405,10.1,19.8,14.8,5.9,1.1,3.4,11.7,23,,1.4,1.3,2.7,0.11,,-1.3,-0.1,-1.5,0.2
27,Ron Baker,SG,25,TOT,15,152,2.5,0.309,0.65,0.3,0.7,7.2,3.9,12.7,1.9,0.6,18.1,7.7,,-0.2,0.1,-0.1,-0.034,,-5.8,-0.7,-6.5,-0.2
27,Ron Baker,SG,25,NYK,11,107,4.4,0.376,0.563,0.375,0.9,6.1,3.4,15.9,2.2,0,13.9,8.6,,0,0,0,0.002,,-4.5,-1.4,-5.8,-0.1
27,Ron Baker,SG,25,WAS,4,45,-2,0,1,0,0,10,4.9,5.1,1,1.9,33.3,5.7,,-0.1,0,-0.1,-0.12,,-9,0.8,-8.3,-0.1
28,Wade Baldwin,PG,22,POR,16,94,1.4,0.396,0.273,0.333,2.3,14.4,8.5,16.8,0.5,1.7,27,23.3,,-0.4,0.1,-0.3,-0.153,,-9.4,-1.3,-10.7,-0.2
29,Lonzo Ball,PG,21,LAL,47,1423,11.8,0.487,0.5,0.105,4,14,9.1,23.7,2.3,1.1,17.8,16.9,,-0.1,1.7,1.6,0.053,,-0.9,1.4,0.5,0.9
30,Mohamed Bamba,C,20,ORL,47,766,15,0.539,0.288,0.259,8.9,24,16.3,7.5,0.8,6.9,13.7,17.9,,0.3,1.4,1.7,0.104,,-3.2,3.1,-0.1,0.4
31,J.J. Barea,PG,34,DAL,38,752,16.4,0.495,0.332,0.203,1.9,11.6,6.8,48.2,1.4,0.1,14.7,28,,0.5,0.6,1.1,0.071,,1.2,-2.1,-0.9,0.2
32,Harrison Barnes,PF-SF,26,TOT,57,1872,12.6,0.532,0.434,0.271,2.7,12.1,7.4,6.7,1.1,0.5,8,22.3,,1,1.4,2.4,0.063,,-1,-1.7,-2.7,-0.3
32,Harrison Barnes,PF,26,DAL,49,1584,13.2,0.538,0.434,0.276,2.5,11.4,7,6.4,1,0.6,7.8,23.6,,1,1.2,2.2,0.066,,-0.8,-2,-2.8,-0.3
32,Harrison Barnes,SF,26,SAC,8,288,9.3,0.48,0.437,0.23,3.8,15.6,9.6,8.4,1.4,0.3,9.5,15.1,,0,0.2,0.3,0.042,,-2.1,-0.2,-2.3,0
33,Will Barton,SG,28,DEN,23,634,13,0.519,0.388,0.196,3.6,15.4,9.5,17.4,0.7,1.8,11.4,20.5,,0.5,0.6,1.1,0.083,,-0.7,-0.6,-1.3,0.1
34,Keita Bates-Diop,SF,23,MIN,10,76,9.6,0.448,0.474,0.263,2.8,19.9,11.3,3.5,1.3,4.5,4.5,12.2,,0,0.1,0.1,0.038,,-4.6,0.7,-3.9,0
35,Nicolas Batum,SF,30,CHO,62,1971,12.5,0.594,0.516,0.167,3.1,14.9,8.9,15,1.5,1.6,16.3,13.4,,2,1.6,3.6,0.088,,0.4,0.9,1.3,1.6
36,Jerryd Bayless,PG,30,MIN,21,431,7.4,0.412,0.5,0.08,1.7,7.8,4.7,23.8,1.2,0.2,10.9,16.9,,-0.2,0.1,0,-0.005,,-2.4,-2.8,-5.2,-0.4
37,Aron Baynes,C,32,BOS,34,507,15,0.574,0.324,0.311,12.5,18.4,15.5,10.3,0.6,3.9,14.3,16.7,,0.9,0.7,1.6,0.151,,-0.5,1.2,0.7,0.3
38,Kent Bazemore,SG,29,ATL,49,1264,13.1,0.526,0.411,0.256,2.2,13.9,8,13.8,2.8,2.6,14.1,22.4,,-0.3,1.2,0.9,0.035,,-1.7,0.3,-1.3,0.2
39,Bradley Beal,SG,25,WAS,62,2319,20.4,0.585,0.369,0.263,3.2,11.9,7.5,23.5,1.8,1.8,11.6,28.4,,4.2,1.3,5.5,0.115,,3.6,-1,2.6,2.7
40,Malik Beasley,SG,22,DEN,62,1494,15,0.629,0.529,0.083,2,9.5,5.8,7.4,1.3,0.5,6.2,17.4,,3,1.2,4.2,0.136,,2.1,-1.9,0.2,0.8
41,Michael Beasley,PF,30,LAL,26,277,16,0.532,0.111,0.255,5,17.1,11.2,14.6,1.5,2.9,13.7,29.5,,-0.1,0.3,0.2,0.04,,-3.7,-0.6,-4.2,-0.2
42,Marco Belinelli,SG,32,SAS,62,1422,13.1,0.57,0.576,0.202,1,10.5,5.8,11.2,1,0.5,8.6,20,,1.6,0.7,2.3,0.078,,1.2,-2.6,-1.4,0.2
43,Jordan Bell,C,24,GSW,52,597,14.5,0.555,0.015,0.243,8.2,17.4,13,12.7,1.5,5.8,14.7,12.6,,0.8,0.8,1.6,0.128,,-2,3.2,1.2,0.5
44,DeAndre' Bembry,SG,24,ATL,63,1542,9.7,0.496,0.285,0.207,2.5,16.7,9.5,14.3,2.3,2,17.5,16.6,,-1,1.3,0.3,0.01,,-3.7,1,-2.7,-0.3
45,Dragan Bender,PF,21,PHO,28,361,8.2,0.507,0.568,0.274,4.9,20.6,12.6,8.2,0.9,0.7,15.8,15.1,,-0.1,0.1,0,-0.002,,-3.8,-1.9,-5.7,-0.3
46,Davis Bertans,PF,26,SAS,58,1248,13.8,0.668,0.74,0.136,1.8,15.8,8.8,7.4,1.1,2,8.8,13.5,,2.3,1,3.3,0.127,,2.2,-0.3,1.9,1.2
47,Patrick Beverley,PG,30,LAC,64,1743,11.4,0.559,0.584,0.289,3.6,15.2,9.6,17.5,1.4,1.7,14,12.1,,2.1,1.6,3.7,0.103,,0.9,1.3,2.1,1.8
48,Khem Birch,C,26,ORL,32,375,18,0.661,0.013,0.48,10.2,20.3,15.2,8.7,1.4,4.9,11.7,12,,0.9,0.6,1.6,0.2,,-0.9,3.4,2.5,0.4
49,Bismack Biyombo,C,26,CHO,36,516,15.4,0.619,0,0.68,10.5,24,17.2,5,0.8,5.9,13.7,12.1,,0.9,0.6,1.6,0.148,,-2.4,2.2,-0.2,0.2
50,Nemanja Bjelica,PF,30,SAC,58,1329,15.6,0.595,0.445,0.153,7,18.5,12.7,11.2,1.5,3.1,13.1,16.8,,1.9,1.5,3.4,0.122,,0.9,1.5,2.4,1.5
51,Antonio Blakeney,SG,22,CHI,43,596,11.6,0.503,0.247,0.196,1.1,11.2,6.1,6.7,0.8,1.2,7.3,25.1,,-0.5,0.2,-0.2,-0.016,,-4.3,-3.8,-8.1,-0.9
52,Eric Bledsoe,PG,29,MIL,61,1784,19.4,0.584,0.396,0.224,4,12.1,8.3,27,2.2,1.1,13.3,22.7,,3.7,3,6.7,0.18,,2.8,0.9,3.7,2.6
53,Jaron Blossomgame,SF,25,CLE,27,439,10.2,0.51,0.368,0.123,6.3,19,12.4,4.3,0.8,1.6,9,12.2,,0.2,0.1,0.3,0.031,,-3,-1.5,-4.5,-0.3
54,Bogdan Bogdanovic,SG,26,SAC,50,1421,14.4,0.524,0.421,0.194,1.7,12.1,6.8,20.3,1.8,0.7,11.1,23,,0.8,1.2,2,0.068,,0.5,-0.9,-0.5,0.5
55,Bojan Bogdanovic,SF,29,IND,64,2030,15.8,0.616,0.374,0.279,1.7,12.2,7.1,8.8,1.3,0,10.2,21.8,,3.2,2.3,5.5,0.13,,1.4,-1.3,0,1
56,Jonah Bolden,PF,23,PHI,33,436,12.6,0.621,0.564,0.173,7.4,20.8,14.3,7.3,1.1,5.4,19.1,14.1,,0.3,0.7,0.9,0.102,,-1.3,2.1,0.8,0.3
57,Isaac Bonga,PG,19,LAL,8,31,9.4,0.306,0.2,0.7,10.3,9.8,10,23.5,4.5,0,13.3,20.2,,-0.1,0,0,-0.027,,-4.9,1.3,-3.6,0
58,Devin Booker,SG,22,PHO,49,1709,18.4,0.57,0.341,0.341,1.9,11.2,6.4,33.2,1.2,0.4,15.6,31.6,,1.8,0.2,2,0.056,,2.8,-3.1,-0.3,0.7
59,Chris Boucher,PF,26,TOR,19,100,27.1,0.58,0.519,0.25,13.2,19.2,16.2,0,1.4,14.8,3.3,25.5,,0.3,0.2,0.5,0.254,,0,0.5,0.5,0.1
60,Avery Bradley,SG,28,TOT,57,1709,7.1,0.487,0.397,0.076,2.6,7.4,5.1,10.9,1,0.7,12.1,15.5,,-0.7,0.9,0.2,0.006,,-1.9,-0.8,-2.7,-0.3
60,Avery Bradley,SG,28,LAC,49,1463,5.6,0.464,0.41,0.06,2.6,6.8,4.8,9,0.9,0.9,12.4,14.2,,-1,0.6,-0.3,-0.011,,-2.4,-0.6,-3,-0.4
60,Avery Bradley,SG,28,MEM,8,246,16,0.577,0.349,0.142,2.7,11.3,6.9,22.1,1.4,0,11.1,23.2,,0.3,0.2,0.5,0.105,,1,-1.9,-0.9,0.1
