Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,,OWS,DWS,WS,WS/48,,OBPM,DBPM,BPM,VORP
101,Gary Clark,PF,24,HOU,38,559,8.8,0.487,0.899,0.059,3.5,16.9,10,3.7,1.3,3.5,3.9,9.8,,0.3,0.4,0.7,0.061,,-2.5,0.2,-2.3,0
102,Ian Clark,SG,27,NOP,45,585,6.9,0.515,0.513,0.092,1.5,8.6,5.1,11.1,0.9,0.6,16.1,17,,-0.3,0.2,-0.1,-0.008,,-2.9,-2.6,-5.5,-0.5
103,Jordan Clarkson,SG,26,CLE,62,1668,17.1,0.535,0.379,0.154,4.1,10.3,7.1,16.4,1.4,0.6,9.7,28.6,,1.3,0,1.3,0.037,,1.7,-3.5,-1.8,0.1
104,John Collins,PF,21,ATL,46,1378,21.5,0.639,0.189,0.325,12.3,21.9,17,11.1,0.5,1.1,11.9,23.6,,3.9,0.6,4.5,0.157,,2.8,-1.9,1,1
105,Zach Collins,C,21,POR,60,1062,13.4,0.568,0.296,0.322,8.6,16.5,12.6,7.3,1,3.7,14.9,16.3,,1.1,1.2,2.4,0.107,,-1,1.1,0.2,0.6
106,Darren Collison,PG,31,IND,64,1803,16.6,0.577,0.303,0.27,2,9.9,6.1,29.4,2.4,0.4,14.7,17.1,,3.4,2.5,6,0.159,,1.2,0,1.2,1.5
107,Bonzie Colson,SF,23,MIL,1,3,-12.7,0,1,0,0,0,0,0,0,0,0,14,,0,0,0,-0.318,,-12.7,-4.2,-16.9,0
108,Mike Conley,PG,31,MEM,61,2032,20.3,0.553,0.381,0.334,2.1,9.6,5.8,33,2.1,1,9.6,27.2,,3.9,2.4,6.2,0.147,,3.9,-0.9,3,2.6
109,Pat Connaughton,SG,26,MIL,42,756,12.9,0.526,0.571,0.106,5.3,13.6,9.7,14.4,1,2.2,8.5,14.4,,0.9,1.1,2,0.13,,-0.2,1,0.7,0.5
110,Quinn Cook,PG,25,GSW,55,753,12.8,0.539,0.444,0.063,2.7,13.7,8.4,15.6,1.1,0.3,9.2,20.2,,0.6,0.5,1.2,0.074,,-0.5,-2.6,-3.1,-0.2
111,DeMarcus Cousins,C,28,GSW,16,403,20.9,0.557,0.255,0.473,5.8,27.6,17.1,18.1,2.5,4.6,13.7,27.8,,0.5,0.8,1.2,0.148,,-0.4,2.7,2.3,0.4
112,Robert Covington,SF,28,TOT,35,1203,13.4,0.58,0.622,0.246,2.5,14.6,8.6,5.3,2.9,3.2,10.5,15.6,,1,1.7,2.6,0.106,,0.5,2.1,2.6,1.4
112,Robert Covington,SF,28,PHI,13,440,11,0.578,0.658,0.197,1.8,14.2,8.2,4.3,2.6,4.1,14.8,14.2,,0,0.7,0.7,0.078,,-1.2,2.7,1.5,0.4
112,Robert Covington,SF,28,MIN,22,763,14.8,0.58,0.604,0.269,2.9,14.9,8.8,5.9,3.1,2.7,8.4,16.4,,1,1,1.9,0.122,,1.5,1.8,3.3,1
113,Allen Crabbe,SG,26,BRK,38,981,8.2,0.522,0.702,0.145,1.6,12.4,7,5.6,1.1,0.9,10.2,16.9,,-0.1,0.8,0.7,0.033,,-1.7,-0.9,-2.6,-0.1
114,Torrey Craig,SF,28,DEN,56,1190,9.4,0.521,0.498,0.18,6.6,12.3,9.4,5.5,1.3,2.6,11.3,12.3,,0.6,1.3,1.9,0.077,,-1.4,0.7,-0.7,0.4
115,Jamal Crawford,SG,38,PHO,51,899,9.7,0.487,0.458,0.242,0.9,7.1,3.9,27.1,1.3,0.9,18.1,20,,-0.5,0,-0.5,-0.025,,-3.3,-3.9,-7.2,-1.2
116,Mitch Creek,SF,26,BRK,4,36,21.6,0.573,0.1,0.7,14.8,14.9,14.8,20.3,1.3,0,0,15.3,,0.2,0,0.2,0.254,,3.4,-0.3,3.1,0
117,Jae Crowder,SF,28,UTA,61,1688,11.7,0.53,0.657,0.263,3.2,15.3,9.3,8.9,1.4,1.1,9.1,19,,0.8,2.2,3,0.086,,-0.2,0.4,0.2,0.9
118,Dante Cunningham,PF,31,SAS,57,871,10.9,0.612,0.416,0.121,5.8,17.1,11.5,7,1.3,1.3,11.8,9,,1.1,0.7,1.9,0.102,,-0.4,0.6,0.2,0.5
119,Seth Curry,SG,28,POR,56,971,9.7,0.58,0.541,0.071,2,6.2,4.2,7.4,1.1,0.7,11.9,15,,0.8,0.6,1.3,0.066,,-0.3,-1.6,-2,0
120,Stephen Curry,PG,30,GSW,52,1790,25.1,0.649,0.597,0.226,2.2,13.8,8.2,24,1.8,0.9,11.4,30.6,,6.1,1.6,7.7,0.207,,8.2,-1.9,6.4,3.8
121,Troy Daniels,SG,27,PHO,33,431,11.5,0.594,0.718,0.11,1.8,8,4.8,4.2,2,0.4,10.5,19,,0.2,0.1,0.3,0.033,,-0.3,-3.7,-3.9,-0.2
122,Anthony Davis,C,25,NOP,49,1700,30.4,0.597,0.14,0.445,9.7,27.4,18.7,18.8,2.1,5.8,8,29.5,,6.3,2.9,9.2,0.259,,4.9,3.7,8.5,4.5
123,Ed Davis,C,29,BRK,64,1155,17.4,0.633,0.008,0.51,15.9,34.1,25,6.6,1.2,1.8,15.4,12.9,,2.6,1.8,4.4,0.183,,-1.1,1.6,0.5,0.7
124,Tyler Davis,C,21,OKC,1,1,0,0,0,0,100,0,51.7,0,0,0,0,40.6,,0,0,0,-0.463,,-15.1,-20.5,-35.6,0
125,Dewayne Dedmon,C,29,ATL,53,1328,15.7,0.6,0.408,0.21,6.9,24.4,15.5,8.3,1.8,4.1,13.7,16.9,,1.6,1.5,3.1,0.112,,-0.6,1.5,1,1
126,Sam Dekker,SF-PF,24,TOT,36,599,14.8,0.54,0.211,0.151,7.3,15.1,11.1,8.1,2.5,1,7.4,16.4,,0.6,0.4,1,0.082,,-1.2,-0.5,-1.8,0
126,Sam Dekker,PF,24,CLE,9,169,14,0.544,0.271,0.208,5.7,16.5,10.8,8,3.2,0,8.7,14.9,,0.2,0.1,0.3,0.081,,-1,-0.4,-1.4,0
126,Sam Dekker,SF,24,WAS,27,430,15.1,0.538,0.192,0.132,8,14.6,11.2,8.1,2.2,1.4,7,17,,0.4,0.3,0.7,0.083,,-1.3,-0.6,-1.9,0
127,Angel Delgado,C,24,LAC,1,14,7.5,0.307,0,0.5,15.7,14.7,15.2,0,3.4,0,0,14.7,,0,0,0,0.014,,-6.4,-3.4,-9.8,0
128,Matthew Dellavedova,PG,28,TOT,46,776,11.1,0.538,0.537,0.229,0.7,10.1,5.2,32.6,0.8,0.2,20.9,17.8,,0.5,0,0.5,0.03,,-1.3,-4.2,-5.6,-0.7
128,Matthew Dellavedova,PG,28,MIL,12,97,7.5,0.482,0.579,0.211,0,10,5.3,35.7,1,0,34.6,13.8,,0,0.1,0.1,0.046,,-5.4,-3,-8.4,-0.2
128,Matthew Dellavedova,PG,28,CLE,34,679,11.6,0.543,0.534,0.231,0.8,10.1,5.2,32.1,0.7,0.3,19.4,18.3,,0.5,-0.1,0.4,0.028,,-0.7,-4.4,-5.2,-0.5
129,Luol Deng,SF,33,MIN,22,392,14.7,0.588,0.373,0.297,5.4,14.6,10,6.5,1.8,1.7,9.5,15.7,,0.6,0.3,0.9,0.109,,-0.1,-0.3,-0.4,0.2
130,DeMar DeRozan,SG,29,SAS,59,2077,19,0.531,0.039,0.329,2.3,16.9,9.7,27.3,1.4,1.1,11.5,28.5,,2.3,1.7,4.1,0.094,,0.1,0.1,0.2,1.1
131,Marcus Derrickson,PF,22,GSW,9,54,10.3,0.543,0.583,0.167,10.3,5.7,7.9,2.6,0,1.6,10.4,22.7,,0,0,0,0.039,,-0.9,-5.8,-6.7,-0.1
132,Cheick Diallo,PF,22,NOP,47,579,19,0.665,0.012,0.316,9.2,29,19.3,4.1,1.9,3.8,14.5,16.2,,1.1,0.9,1.9,0.16,,-1.7,0.8,-0.9,0.2
133,Hamidou Diallo,SG,20,OKC,46,517,10.4,0.505,0.142,0.364,7.3,11.8,9.5,4.4,1.8,1.6,10.9,16.6,,0.1,0.7,0.8,0.074,,-4.1,-0.4,-4.5,-0.3
134,Gorgui Dieng,C,29,MIN,57,762,16.7,0.57,0.167,0.263,8.2,24.7,16.4,9.5,2,3.3,11.1,17.3,,1.2,1,2.2,0.138,,-1,1.6,0.5,0.5
135,Spencer Dinwiddie,PG,25,BRK,51,1447,17.1,0.591,0.436,0.417,1.5,7.5,4.5,28,1,0.6,13.9,24.9,,3,0.8,3.8,0.127,,2.4,-2.6,-0.1,0.7
136,Donte DiVincenzo,SG,22,MIL,23,358,8.5,0.492,0.645,0.103,4,11.7,8,9.6,1.6,1.4,13.9,15.3,,-0.1,0.5,0.4,0.059,,-2.4,0.4,-2,0
137,Luka Doncic,SG,19,DAL,58,1863,19.5,0.56,0.443,0.413,3.7,20.3,12.1,30.1,1.5,0.8,15.3,29.5,,2.2,2.2,4.4,0.114,,3.1,0.8,3.9,2.8
138,Tyler Dorsey,SG,22,TOT,31,283,8.6,0.468,0.45,0.3,4.5,14.7,9.5,9,1.1,0.3,9.6,18.3,,-0.1,0.1,0,0.002,,-3.7,-2.9,-6.7,-0.3
138,Tyler Dorsey,SG,22,ATL,27,251,7.9,0.448,0.438,0.292,3.8,14.7,9.2,9.5,1.3,0.3,9.1,18,,-0.1,0.1,0,-0.009,,-4.2,-2.7,-6.9,-0.3
138,Tyler Dorsey,SG,22,MEM,4,32,14.2,0.627,0.545,0.364,10.4,14.5,12.4,5.3,0,0,13.6,20.8,,0,0,0.1,0.093,,-0.1,-4.4,-4.5,0
139,Damyean Dotson,SG,24,NYK,53,1328,11.7,0.531,0.469,0.151,2.2,12.6,7.2,9.3,1.7,0.4,7.2,16.8,,0.9,0.7,1.5,0.056,,-0.5,-1.1,-1.6,0.1
140,PJ Dozier,SG,22,BOS,4,10,24.8,0.583,0.333,0,21.2,21.4,21.3,0,0,0,0,25.9,,0,0,0,0.208,,0.9,-10.8,-9.9,0
141,Goran Dragic,PG,32,MIA,18,491,14.5,0.534,0.38,0.293,1.7,9.4,5.6,25.4,1.1,0.7,13.4,26,,0.4,0.4,0.8,0.077,,0.1,-2.3,-2.1,0
142,Andre Drummond,C,25,DET,58,1919,22.7,0.548,0.043,0.371,16.2,34,24.8,6.1,2.5,4.5,12.3,23.4,,2.4,4.3,6.6,0.166,,-1.3,3.3,2,1.9
143,Jared Dudley,PF,33,BRK,46,971,6.9,0.525,0.634,0.18,2.7,10.5,6.6,9.3,1.4,1,15.4,10.8,,0.2,0.8,0.9,0.047,,-2.2,0.8,-1.5,0.1
144,Kris Dunn,PG,24,CHI,35,1086,12.1,0.486,0.171,0.143,1.1,13,7,30.4,2.2,1.4,16.9,19.9,,-0.4,1,0.5,0.023,,-2.5,0.2,-2.2,-0.1
145,Kevin Durant,PF,30,GSW,62,2203,24.8,0.626,0.278,0.377,1.6,18.5,10.4,25.4,1,2.8,12.1,30.1,,7.1,2.3,9.3,0.204,,4.3,0,4.3,3.5
146,Trevon Duval,PG,20,MIL,3,6,38.6,0.833,0.333,0,0,16.2,8.6,58.8,0,0,0,21,,0.1,0,0.1,0.542,,14,-4,10,0
147,Vince Edwards,SF,22,HOU,2,16,3.8,0.375,1,0,6.8,7.3,7,0,0,0,0,10.8,,0,0,0,-0.024,,-4.2,-6.1,-10.3,0
148,Henry Ellenson,PF,22,TOT,5,92,13.8,0.563,0.5,0.125,0,27.6,13.3,9.8,1.6,0,2.9,16.1,,0.1,0.1,0.2,0.124,,-1.4,-1.3,-2.7,0
148,Henry Ellenson,PF,22,DET,2,25,14.8,0.551,0.4,0.2,0,40.5,19.6,6.2,0,0,0,18.6,,0,0,0.1,0.149,,-3.7,-2.6,-6.3,0
148,Henry Ellenson,PF,22,NYK,3,67,13.4,0.568,0.545,0.091,0,22.7,10.9,11.1,2.2,0,4.2,15.1,,0.1,0.1,0.2,0.114,,-0.5,-0.8,-1.4,0
149,Wayne Ellington,SG,31,TOT,32,717,10.3,0.542,0.843,0.076,0.9,8.7,4.7,7.5,2,0.5,6.9,16.5,,0.5,0.7,1.2,0.081,,0.3,-1.2,-0.9,0.2
149,Wayne Ellington,SG,31,MIA,25,533,10.9,0.547,0.842,0.087,1.2,8.3,4.7,7.9,2.2,0.5,6.8,16.4,,0.4,0.6,1,0.09,,0.7,-1.1,-0.4,0.2
149,Wayne Ellington,SG,31,DET,7,184,8.4,0.528,0.846,0.046,0,9.8,4.7,6.5,1.3,0.5,7,16.6,,0,0.2,0.2,0.056,,-0.7,-1.5,-2.2,0
150,Joel Embiid,C,24,PHI,54,1822,25.4,0.593,0.217,0.545,8.1,33.9,21.4,17.5,0.8,4.5,13.5,33.1,,4,3.2,7.2,0.189,,1.4,2,3.4,2.5
151,James Ennis,SF,28,TOT,46,1020,10.6,0.598,0.558,0.26,4.2,9.7,6.9,4.3,1.9,1.3,9.2,12,,1.3,0.6,1.9,0.09,,-0.5,-0.6,-1,0.3
151,James Ennis,SF,28,HOU,40,949,11.3,0.622,0.569,0.275,4.2,9.8,6.9,4.1,2,1.4,8.9,11.8,,1.4,0.6,2,0.102,,0,-0.4,-0.4,0.4
151,James Ennis,SF,28,PHI,6,71,0.7,0.335,0.45,0.1,3.1,8.8,6,7.2,0.7,0,12.6,14.1,,-0.1,0,-0.1,-0.073,,-6.7,-2.2,-8.9,-0.1
152,Drew Eubanks,PF,21,SAS,16,76,17.8,0.776,0,0.579,1.4,22.9,12.2,5.7,0.6,2.2,17.3,16.6,,0.2,0.1,0.2,0.157,,-1.6,-1.2,-2.8,0
153,Jacob Evans,SG,21,GSW,23,99,-1.3,0.256,0.24,0.04,1.1,8.3,4.9,15.4,0.5,0.9,19.1,13.5,,-0.3,0,-0.2,-0.118,,-9,-2.3,-11.3,-0.2
154,Jawun Evans,PG,22,PHO,7,64,0.8,0.231,0.154,0,1.7,19.7,10.5,20.1,2.2,0,31.6,12.8,,-0.2,0,-0.2,-0.138,,-10.2,0.1,-10.1,-0.1
155,Tyreke Evans,SG,29,IND,55,1102,11.8,0.486,0.349,0.229,2.8,12.2,7.6,17.1,2.3,1.2,14.3,26.3,,-1.2,1.7,0.5,0.02,,-2.9,-0.3,-3.2,-0.3
156,Dante Exum,PG,23,UTA,39,637,12.6,0.53,0.252,0.368,2.6,8.4,5.5,25.3,1.1,0.6,14.5,21.3,,0.5,0.7,1.2,0.087,,-1.7,-1.4,-3.1,-0.2
157,Kenneth Faried,C,29,TOT,28,565,22.3,0.632,0.089,0.384,15.2,23.4,19.2,5.4,1,2.8,9.9,20.1,,1.7,0.5,2.3,0.193,,0.5,-1.1,-0.6,0.2
157,Kenneth Faried,C,29,BRK,12,118,20.7,0.622,0.119,0.381,13.5,26.3,19.9,2.8,0.8,2.6,10.9,19.7,,0.3,0.2,0.4,0.164,,-1.9,-1.8,-3.8,0
157,Kenneth Faried,C,29,HOU,16,447,22.7,0.635,0.081,0.385,15.6,22.7,19,6.1,1.1,2.9,9.6,20.1,,1.5,0.4,1.9,0.2,,1.1,-0.9,0.2,0.3
158,Derrick Favors,C,27,UTA,61,1432,21.1,0.617,0.139,0.387,12.5,21.9,17.2,7.3,1.5,4.8,10.5,18.8,,3.4,2.7,6.1,0.205,,0.8,3.1,3.9,2.1
159,Cristiano Felicio,C,26,CHI,41,410,12.3,0.561,0.021,0.406,10.4,20,15.2,6.7,0.7,0.9,13.7,14.1,,0.4,0.3,0.7,0.081,,-3.2,-1,-4.2,-0.2
160,Raymond Felton,PG,34,OKC,21,257,11.8,0.492,0.413,0.106,1.2,8.2,4.6,20.4,1.4,1.3,9.9,19.1,,0.1,0.3,0.4,0.075,,-2.5,-2,-4.5,-0.2
161,Terrance Ferguson,SG,20,OKC,54,1351,6.7,0.569,0.645,0.096,1.8,5.3,3.5,4.5,1,0.7,8.2,10.7,,1,1.2,2.1,0.076,,-1.4,-0.6,-2,0
162,Yogi Ferrell,PG,25,SAC,52,775,13.5,0.547,0.411,0.19,1.4,9.7,5.5,17.9,1.6,0.4,7.6,16.1,,1.1,0.5,1.7,0.103,,-0.1,-1.6,-1.7,0
163,Dorian Finney-Smith,SF,25,DAL,62,1564,11.4,0.554,0.469,0.219,7.5,13.2,10.4,5.4,1.9,1.6,12.3,13.6,,1.2,1.8,2.9,0.09,,-0.8,1.4,0.6,1
164,Bryn Forbes,PG,25,SAS,64,1804,11.5,0.569,0.517,0.108,0.9,10.2,5.5,10.7,1,0.1,9.2,17.9,,1.6,0.8,2.4,0.063,,0.8,-2.1,-1.3,0.3
165,Evan Fournier,SG,26,ORL,63,1994,11.8,0.528,0.433,0.161,1.6,9.1,5.3,18.2,1.3,0.4,12.5,22.3,,0.1,1.8,2,0.048,,-0.6,-1.2,-1.8,0.1
166,De'Aaron Fox,PG,21,SAC,61,1925,17.8,0.544,0.214,0.381,1.8,10.4,6,33,2.4,1.5,15.6,24.4,,2.2,1.9,4.1,0.103,,0.9,0,0.9,1.4
167,Melvin Frazier,SG,22,ORL,7,32,5.6,0.429,0.214,0,6.6,3.4,5,0,1.5,0,6.7,20.5,,-0.1,0,0,-0.046,,-6.8,-4.8,-11.6,-0.1
168,Tim Frazier,PG,28,NOP,47,909,11.7,0.552,0.395,0.21,3.8,11.8,7.9,27.9,1.3,0.4,22,12.4,,1.1,0.5,1.6,0.085,,-0.6,-1.3,-1.9,0
169,Channing Frye,C,35,CLE,30,295,9.1,0.524,0.684,0.126,1.4,16.9,8.8,9,0.8,1.5,9.1,16.4,,0.1,0,0.1,0.024,,-1.9,-2.7,-4.5,-0.2
170,Markelle Fultz,PG,20,PHI,19,427,10.5,0.452,0.09,0.239,6.7,10.7,8.8,19.6,1.9,0.9,12.7,19.3,,-0.1,0.4,0.3,0.038,,-2.9,0,-2.8,-0.1
171,Danilo Gallinari,SF,30,LAC,53,1618,19.6,0.622,0.438,0.462,3,17.2,10.3,12,1.1,0.9,8.7,23,,4.6,1.4,5.9,0.175,,3.6,-1.2,2.4,1.8
172,Langston Galloway,SG,27,DET,59,1232,10.3,0.521,0.657,0.145,3,8.9,5.8,7.4,1.1,0.3,4.1,16.2,,1.2,1,2.2,0.086,,-0.1,-1.3,-1.4,0.2
173,Marc Gasol,C,34,TOT,60,1944,17.3,0.541,0.305,0.287,3.6,25.7,14.4,23.4,1.7,3.3,13.3,22.4,,1.3,3.4,4.7,0.115,,-0.2,3.3,3.1,2.5
173,Marc Gasol,C,34,MEM,53,1788,17.1,0.541,0.324,0.294,3.5,25.8,14.4,23,1.7,3.4,13.4,22.5,,1,3.1,4.1,0.11,,-0.3,3.3,3,2.2
173,Marc Gasol,C,34,TOR,7,156,20.1,0.546,0.097,0.21,5.6,23.9,14.9,28.9,2.1,3.2,12.9,21.2,,0.3,0.3,0.5,0.167,,0.4,3.5,3.9,0.2
174,Pau Gasol,C,38,SAS,27,330,18.1,0.544,0.114,0.432,7.3,34.6,21,20.3,0.7,3.6,11.8,15.8,,0.6,0.4,1.1,0.156,,-1.1,2.6,1.5,0.3
175,Rudy Gay,PF,32,SAS,53,1428,18.3,0.597,0.236,0.19,3.7,22.2,13,14.7,1.5,1.8,12,22.1,,2.2,1.5,3.7,0.124,,0.9,0.5,1.5,1.3
176,Paul George,SF,28,OKC,59,2163,24.5,0.593,0.461,0.331,3.9,19.2,11.4,18.3,2.9,1,9.7,29.6,,6.2,3.8,10,0.222,,5.4,0.8,6.2,4.5
177,Taj Gibson,PF,33,MIN,61,1507,17.3,0.61,0.071,0.321,10.5,17.9,14.2,7,1.6,2,11.1,16.7,,3.1,1.4,4.5,0.143,,0.6,0.5,1.2,1.2
178,Harry Giles,PF,20,SAC,49,650,14.2,0.528,0.018,0.268,7.9,20.9,14.3,14.7,1.9,2.1,16.1,23.3,,0,0.8,0.8,0.058,,-3.2,1,-2.2,0
179,Shai Gilgeous-Alexander,PG,20,LAC,64,1638,12,0.536,0.194,0.266,2.9,8.1,5.6,16.5,2.1,1.7,16.5,18.2,,0.3,1.4,1.7,0.048,,-1.4,0.4,-1.1,0.4
180,Rudy Gobert,C,26,UTA,62,1960,24.2,0.669,0,0.736,13.1,30.5,21.9,10.6,1.3,5.6,12.3,17.6,,6.4,4.2,10.6,0.26,,1.8,5.2,7,4.5
181,Brandon Goodwin,PG,23,DEN,16,57,8.4,0.413,0.261,0.478,1.9,3.8,2.9,31.7,0,0,9.7,22.9,,0,0,0,0.025,,-4.3,-6.5,-10.9,-0.1
182,Aaron Gordon,PF,23,ORL,60,2008,15,0.534,0.332,0.261,5.2,18.7,11.9,16.5,1,1.7,12.1,22,,1.2,2.5,3.7,0.087,,-0.3,1,0.8,1.4
183,Eric Gordon,SG,30,HOU,49,1597,11.1,0.516,0.598,0.18,1,7.7,4.3,10.2,1,1.1,8.4,22.5,,0.5,0.4,0.9,0.027,,-1,-3.3,-4.2,-0.9
184,Marcin Gortat,C,34,LAC,47,751,12.9,0.562,0,0.258,9.8,26.6,18.4,12.2,0.4,2.5,19.4,14.5,,0.6,0.8,1.4,0.09,,-2.4,1.5,-1,0.2
185,Devonte' Graham,PG,23,CHO,31,403,10.7,0.483,0.577,0.169,0.8,9.2,5,23.5,2,0.4,13.1,17.1,,0.1,0.3,0.4,0.043,,-1.5,-2.3,-3.9,-0.2
186,Treveon Graham,SG,25,BRK,26,559,5.3,0.446,0.651,0.121,3.4,11.7,7.5,5.9,0.7,1,8.7,13,,-0.2,0.4,0.1,0.012,,-3.3,-0.5,-3.8,-0.2
187,Jerami Grant,PF,24,OKC,60,1944,14.3,0.607,0.332,0.292,3.2,13.4,8.2,3.9,1.2,3.5,6.6,14.8,,3.2,2.6,5.8,0.143,,-0.6,1.3,0.6,1.3
188,Jerian Grant,PG,26,ORL,51,844,10.4,0.513,0.481,0.19,2.1,8.9,5.5,22.6,2.4,0.6,18.7,13,,0.3,1,1.3,0.075,,-2.2,0.2,-2,0
189,Donte Grantham,SF,23,OKC,1,2,-18.9,0,1,0,0,0,0,0,0,0,0,20.3,,0,0,0,-0.464,,-15.9,-6.8,-22.7,0
190,Danny Green,SG,31,TOR,61,1730,12,0.608,0.669,0.064,3.2,12.2,7.8,6.7,1.5,2,10,13.6,,2,2.1,4.1,0.113,,1.2,1.2,2.4,1.9
191,Draymond Green,PF,28,GSW,48,1496,12.9,0.514,0.386,0.221,3.3,21.4,12.7,27.9,2.3,2.7,26.8,12.9,,0.9,2.2,3,0.098,,-1.3,3.2,1.9,1.5
192,Gerald Green,SG,33,HOU,58,1242,11.6,0.565,0.761,0.113,2.4,11.7,6.9,4.6,0.9,1.6,8.2,19,,1.1,0.5,1.5,0.06,,-0.3,-3.1,-3.4,-0.4
193,JaMychal Green,PF,28,TOT,49,1058,15.2,0.586,0.339,0.253,8.8,24.3,16.4,6,1.8,2.7,15.5,20.2,,0.6,1.7,2.3,0.105,,-1.9,0.6,-1.3,0.2
193,JaMychal Green,PF,28,MEM,41,900,15.1,0.58,0.308,0.256,8.9,23.1,15.8,6.6,1.8,2.8,15.6,20.6,,0.4,1.5,1.9,0.101,,-2.1,0.9,-1.2,0.2
193,JaMychal Green,PF,28,LAC,8,158,15.8,0.622,0.529,0.235,8.3,30.6,19.8,2.8,1.5,2.5,15.1,17.7,,0.2,0.2,0.4,0.124,,-1.1,-1,-2.1,0
194,Jeff Green,PF,32,WAS,60,1671,13.9,0.61,0.467,0.292,3.3,14.3,8.7,9.9,0.8,1.6,11.3,17.6,,2.5,0.7,3.1,0.089,,0.3,-1.3,-1,0.4
195,Blake Griffin,PF,29,DET,59,2112,21.4,0.589,0.372,0.413,4,20.7,12.1,27.4,0.9,1,14.3,30.2,,4.3,2.4,6.7,0.153,,4.4,0.7,5.2,3.8
196,Daniel Hamilton,SG,23,ATL,19,204,7.2,0.455,0.383,0.1,5.2,19.7,12.3,14.7,1.4,0.4,20.3,15.7,,-0.2,0.1,-0.1,-0.023,,-4.9,-1,-5.8,-0.2
197,Tim Hardaway,SG,26,TOT,56,1789,14.3,0.531,0.477,0.304,1.7,9.9,5.7,13,1.3,0.3,8.8,25.5,,1.3,0.7,2,0.053,,0.9,-2.9,-1.9,0
197,Tim Hardaway,SG,26,NYK,46,1499,14.5,0.531,0.464,0.321,1.8,9.8,5.6,13.2,1.3,0.3,8.9,25.7,,1.2,0.5,1.6,0.052,,1.1,-3,-1.9,0.1
197,Tim Hardaway,SG,26,DAL,10,290,13.5,0.532,0.547,0.216,1.5,10.2,5.9,12.1,1.3,0.3,8.4,24.5,,0.1,0.2,0.4,0.06,,0.1,-2.5,-2.4,0
198,James Harden,SG,29,HOU,58,2171,30.4,0.618,0.55,0.471,2.8,17.5,9.9,39.6,2.8,1.7,15.3,40.3,,8.6,2.3,10.9,0.241,,10.7,0.6,11.2,7.2
199,Maurice Harkless,SF,25,POR,42,932,12.1,0.538,0.332,0.154,5.7,14.1,10,5.9,2.3,2.9,10.2,13.3,,0.7,1.3,2,0.102,,-0.8,2.2,1.4,0.8
200,Montrezl Harrell,C,25,LAC,64,1684,23.7,0.642,0.018,0.477,9.5,16.8,13.2,11.6,1.6,4.2,10.3,22.7,,5.1,2.1,7.1,0.203,,2.9,1.7,4.6,2.8
201,Devin Harris,PG,35,DAL,50,756,11,0.535,0.566,0.398,1.3,10,5.7,14.1,2,1.2,12.5,18.6,,0.4,0.8,1.1,0.073,,-1.3,-0.5,-1.8,0
202,Gary Harris,SG,24,DEN,37,1070,13.1,0.522,0.388,0.244,2.4,8.4,5.4,12.7,1.6,1.3,8.5,21.4,,0.9,1,1.9,0.084,,-0.4,-1.3,-1.7,0.1
203,Joe Harris,SG,27,BRK,60,1797,13.9,0.65,0.519,0.162,2.4,10.5,6.4,12.8,0.8,0.6,13.1,17.2,,3.2,1.1,4.3,0.115,,1.7,-0.9,0.9,1.3
204,Tobias Harris,PF-SF,26,TOT,64,2227,18.5,0.61,0.321,0.253,2.1,21.3,12,12.6,0.9,1.1,10,23.2,,4.2,2.1,6.3,0.136,,1.9,-0.5,1.4,1.9
204,Tobias Harris,PF,26,LAC,55,1903,18.5,0.605,0.302,0.256,2.1,21.4,12,12.7,1,1,10.3,23.6,,3.4,1.8,5.2,0.131,,1.8,-0.4,1.4,1.6
204,Tobias Harris,SF,26,PHI,9,324,18.8,0.641,0.442,0.232,2,20.9,11.7,11.7,0.4,1.7,7.9,21.4,,0.8,0.3,1.1,0.162,,2.2,-1.2,1,0.2
205,Andrew Harrison,SG-PG,24,TOT,17,187,5.8,0.443,0.472,0.34,3.4,8.5,5.8,17.2,1.1,0.9,16.5,16.9,,-0.1,0,-0.1,-0.026,,-3.8,-2.8,-6.5,-0.2
205,Andrew Harrison,PG,24,MEM,1,5,4.6,0.5,0.5,0,0,0,0,0,0,0,0,18,,0,0,0,-0.007,,-4.2,-6,-10.1,0
205,Andrew Harrison,SG,24,CLE,10,144,6.6,0.467,0.359,0.41,3,8.9,5.8,16.5,1.4,1.2,17.8,17,,-0.1,0,-0.1,-0.021,,-4,-2.3,-6.2,-0.2
205,Andrew Harrison,SG,24,NOP,6,38,3.1,0.349,0.833,0.167,5.6,8.1,6.9,22.2,0,0,13.4,16.1,,0,0,0,-0.046,,-2.9,-4.3,-7.2,0
206,Shaquille Harrison,PG,25,CHI,54,930,11.7,0.48,0.262,0.365,2.1,14.3,8.2,13.9,3.3,1.8,11.2,16.1,,-0.2,1.1,0.9,0.048,,-3.1,1.7,-1.4,0.1
207,Josh Hart,SG,23,LAL,60,1529,9.5,0.526,0.594,0.173,2.3,12.9,7.7,7.1,1.8,1.9,10.8,13.8,,0.2,1.7,1.9,0.059,,-1.7,1,-0.7,0.5
