Rk_x,Player,Pos,Age,Tm_x,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Rk_y,Tm_y,year0,year1,year2,year3,year4,year5,Signed Using, Guaranteed 
38,aron baynes,C,32.0,BOS,50.0,807.0,14.0,0.568,0.27399999999999997,0.28300000000000003,11.4,19.9,15.6,9.0,0.7,3.7,13.7,15.2,1.2,1.1,2.3,0.14,-1.2,1.4,0.1,0.4,210,BOS,5193600,5453280,,,,,,5193600
39,kent bazemore,SG,29.0,ATL,65.0,1601.0,12.2,0.511,0.429,0.256,2.4,14.8,8.5,13.5,2.6,2.3,13.8,22.0,-0.6,1.4,0.8,0.024,-2.2,0.2,-2.0,0.0,59,ATL,18089887,19269662,,,,,Cap Space,18089887
40,bradley beal,SG,25.0,WAS,80.0,2988.0,20.8,0.583,0.371,0.281,3.1,11.7,7.3,23.9,1.9,1.6,11.2,28.4,5.8,1.7,7.5,0.12,3.9,-1.1,2.7,3.6,23,WAS,25434263,27093019,28751775,,,,Cap Space,81279057
41,malik beasley,SG,22.0,DEN,78.0,1807.0,14.0,0.599,0.551,0.086,2.0,9.7,5.8,7.5,1.4,0.4,6.8,18.4,2.8,1.6,4.3,0.115,1.3,-1.9,-0.6,0.6,358,DEN,1773840,2731714,,,,,1st Round pick,4505554
42,michael beasley,PF,30.0,LAL,26.0,277.0,15.9,0.532,0.111,0.255,4.9,17.1,11.2,14.8,1.5,2.9,13.7,29.5,-0.1,0.4,0.2,0.038,-3.7,-0.4,-4.1,-0.1,246,LAC,3500000,,,,,,,3500000
43,marco belinelli,SG,32.0,SAS,77.0,1784.0,12.3,0.562,0.5760000000000001,0.182,1.0,10.9,6.0,10.2,1.0,0.4,8.8,19.9,1.5,1.0,2.5,0.068,0.6,-2.4,-1.8,0.1,187,SAS,6153846,5846154,,,,,MLE,12000000
44,jordan bell,C,24.0,GSW,65.0,739.0,12.2,0.512,0.011000000000000001,0.21100000000000002,7.4,16.6,12.2,12.0,1.3,5.6,16.6,13.3,0.3,1.0,1.4,0.08800000000000001,-3.5,3.0,-0.6,0.3,416,GSW,1378252,,,,,,Minimum Salary,1378252
45,deandre' bembry,SG,24.0,ATL,80.0,1888.0,10.7,0.506,0.28600000000000003,0.217,2.8,17.0,9.7,14.7,2.5,1.9,17.4,17.1,-0.9,1.7,0.8,0.02,-3.4,1.2,-2.2,-0.1,377,ATL,1634640,2603982,,,,,1st Round pick,4238622
46,dragan bender,PF,21.0,PHO,44.0,754.0,9.2,0.525,0.544,0.24600000000000002,4.4,20.1,12.1,9.2,1.0,2.3,14.8,12.7,0.1,0.4,0.5,0.028999999999999998,-3.1,-0.2,-3.2,-0.2,219,PHO,4661280,,,,,,1st Round pick,4661280
47,dairis bertans,SG,29.0,NOP,10.0,120.0,3.4,0.4,0.7709999999999999,0.0,1.8,4.3,3.0,8.1,0.4,0.0,5.4,12.7,-0.1,0.0,-0.1,-0.034,-3.3,-3.8,-7.1,-0.2,517,NOP,194220,1416852,,,,,,194220
48,davis bertans,PF,26.0,SAS,74.0,1592.0,12.9,0.632,0.7490000000000001,0.138,1.6,16.1,8.9,8.3,1.0,1.8,8.2,13.9,2.5,1.3,3.9,0.11699999999999999,1.6,-0.3,1.3,1.3,176,SAS,7000000,7000000,,,,,Early Bird Rights,14000000
49,patrick beverley,PG,30.0,LAC,77.0,2115.0,11.6,0.557,0.588,0.263,3.9,14.9,9.6,18.2,1.5,1.6,13.9,12.1,2.7,2.0,4.7,0.107,1.1,1.2,2.3,2.3,212,LAC,5027028,,,,,,Bird Rights,5027028
50,khem birch,C,26.0,ORL,48.0,605.0,19.8,0.647,0.006999999999999999,0.5660000000000001,13.2,19.0,16.1,8.6,1.5,4.0,10.1,14.3,1.8,1.0,2.8,0.21899999999999997,0.3,2.5,2.7,0.7,422,ORL,1378242,,,,,,Minimum Salary,1378242
51,bismack biyombo,C,26.0,CHO,51.0,713.0,14.8,0.606,0.0,0.5589999999999999,11.1,23.5,17.1,5.5,0.7,5.0,14.6,12.7,1.1,0.8,1.9,0.129,-2.6,1.6,-1.0,0.2,66,CHO,17000000,17000000,,,,,Cap Space,17000000
52,nemanja bjelica,PF,30.0,SAC,75.0,1755.0,15.1,0.5770000000000001,0.43,0.155,7.2,19.2,13.0,11.1,1.4,2.8,11.7,16.5,2.4,2.0,4.4,0.11900000000000001,0.6,1.3,1.9,1.7,182,SAC,6500000,6825000,7150000,,,,,13325000
53,antonio blakeney,SG,22.0,CHI,56.0,815.0,10.4,0.486,0.231,0.19,0.9,13.2,7.0,7.7,0.7,1.0,7.6,24.5,-0.8,0.3,-0.6,-0.033,-4.8,-3.6,-8.5,-1.3,440,CHI,1349383,1588231,,,,,Minimum Salary,2937614
54,eric bledsoe,PG,29.0,MIL,77.0,2247.0,19.4,0.579,0.387,0.24600000000000002,3.9,11.8,8.1,27.3,2.4,1.1,13.3,22.9,4.5,3.7,8.2,0.175,2.6,1.0,3.5,3.1,78,MIL,15000000,15625000,16875000,18125000,19375000,,Bird Rights,85000000
55,jaron blossomgame,SF,25.0,CLE,27.0,439.0,10.2,0.51,0.368,0.12300000000000001,6.3,19.0,12.4,4.2,0.8,1.6,9.0,12.2,0.2,0.1,0.3,0.031,-3.0,-1.4,-4.4,-0.3,,,,,,,,,,
56,bogdan bogdanovic,SG,26.0,SAC,68.0,1891.0,14.2,0.531,0.423,0.192,2.1,11.0,6.5,19.8,1.7,0.7,11.3,22.2,1.3,1.5,2.8,0.071,0.5,-1.1,-0.6,0.7,142,SAC,9000000,8529386,,,,,Cap space,17529386
57,bojan bogdanovic,SF,29.0,IND,80.0,2544.0,16.1,0.614,0.36700000000000005,0.29100000000000004,1.5,12.7,7.2,9.5,1.3,0.0,10.2,22.5,3.9,2.9,6.8,0.129,1.4,-1.3,0.1,1.3,129,IND,10500000,,,,,,Cap space,10500000
58,andrew bogut,C,34.0,GSW,9.0,109.0,15.3,0.524,0.0,0.08800000000000001,10.3,33.8,22.5,12.2,0.4,3.9,7.8,15.0,0.2,0.2,0.3,0.153,-2.9,1.6,-1.3,0.0,309,GSW,2393887,,,,,,Minimum Salary,2393887
