,Unnamed: 0,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
28,28,24,Deandre Ayton,C,20,PHO,61,1886,21.0,.616,.005,.227,11.1,26.6,18.7,10.2,1.3,2.4,11.2,21.0,4.1,1.5,5.6,.142,0.5,0.3,0.9,1.4
29,29,25,Dwayne Bacon,SG,23,CHO,27,309,11.0,.610,.313,.135,1.0,13.4,7.2,9.6,0.6,0.3,11.3,15.9,0.3,0.1,0.5,.071,-1.8,-2.5,-4.3,-0.2
30,30,26,Marvin Bagley,PF,19,SAC,47,1165,18.2,.566,.127,.405,10.1,19.8,14.9,6.0,1.1,3.4,11.7,23.1,1.4,1.3,2.7,.112,-1.4,-0.1,-1.4,0.2
31,31,27,Ron Baker,SG,25,TOT,15,152,2.5,.309,.650,.300,0.7,7.2,3.8,12.7,1.9,0.6,18.1,7.7,-0.2,0.1,-0.1,-0.033,-5.8,-0.7,-6.5,-0.2
32,32,27,Ron Baker,SG,25,NYK,11,107,4.4,.376,.563,.375,0.9,6.1,3.4,15.9,2.2,0.0,13.9,8.6,0.0,0.0,0.0,.003,-4.5,-1.4,-5.9,-0.1
33,33,27,Ron Baker,SG,25,WAS,4,45,-1.9,.000,1.000,.000,0.0,9.9,4.9,5.1,1.0,1.9,33.3,5.7,-0.1,0.0,-0.1,-0.121,-8.9,0.7,-8.2,-0.1
34,34,28,Wade Baldwin,PG,22,POR,16,94,1.4,.396,.273,.333,2.3,14.4,8.5,16.8,0.5,1.7,27.0,23.3,-0.4,0.1,-0.3,-0.154,-9.4,-1.4,-10.8,-0.2
35,35,29,Lonzo Ball,PG,21,LAL,47,1423,11.8,.487,.500,.105,4.0,14.0,9.1,23.7,2.3,1.1,17.8,16.9,-0.2,1.7,1.5,.051,-0.9,1.3,0.4,0.9
36,36,30,Mohamed Bamba,C,20,ORL,47,766,15.0,.539,.288,.259,8.9,24.0,16.3,7.5,0.8,7.0,13.7,17.9,0.3,1.4,1.6,.103,-3.2,3.1,-0.1,0.4
37,37,31,J.J. Barea,PG,34,DAL,38,752,16.5,.495,.332,.203,1.9,11.6,6.8,48.1,1.4,0.1,14.7,28.0,0.5,0.6,1.1,.067,1.2,-2.2,-1.0,0.2
38,38,32,Harrison Barnes,PF-SF,26,TOT,60,1983,12.9,.538,.436,.277,2.5,12.8,7.7,6.5,1.1,0.5,7.7,21.9,1.3,1.4,2.8,.067,-0.8,-1.8,-2.6,-0.3
39,39,32,Harrison Barnes,PF,26,DAL,49,1584,13.2,.538,.434,.276,2.5,11.5,7.0,6.4,1.0,0.6,7.8,23.6,1.0,1.1,2.1,.062,-0.8,-2.1,-2.9,-0.4
40,40,32,Harrison Barnes,SF,26,SAC,11,399,11.6,.538,.447,.285,2.8,18.0,10.3,6.9,1.4,0.2,7.4,15.4,0.3,0.4,0.7,.083,-1.0,-0.3,-1.3,0.1
41,41,33,Will Barton,SG,28,DEN,26,724,12.8,.520,.411,.181,3.4,16.1,9.7,16.4,0.7,1.9,11.7,20.5,0.5,0.7,1.2,.077,-0.9,-0.5,-1.3,0.1
42,42,34,Keita Bates-Diop,SF,23,MIN,14,167,9.1,.478,.395,.326,3.2,14.8,9.0,3.2,0.9,3.1,3.9,12.8,0.0,0.1,0.1,.037,-3.6,-0.7,-4.3,-0.1
43,43,35,Nicolas Batum,SF,30,CHO,66,2127,12.3,.585,.524,.159,3.2,14.8,9.0,14.9,1.5,1.5,16.1,13.4,2.0,1.7,3.7,.084,0.3,0.9,1.2,1.7
44,44,36,Jerryd Bayless,PG,30,MIN,21,431,7.5,.412,.500,.080,1.7,7.7,4.7,23.5,1.2,0.2,10.9,16.9,-0.2,0.1,-0.1,-0.008,-2.4,-2.9,-5.3,-0.4
45,45,37,Aron Baynes,C,32,BOS,38,558,14.2,.567,.323,.316,11.8,18.9,15.3,10.7,0.5,3.5,14.3,16.2,0.9,0.8,1.7,.144,-0.8,1.1,0.3,0.3
46,46,38,Kent Bazemore,SG,29,ATL,53,1367,12.9,.521,.419,.261,2.5,14.2,8.3,13.4,2.7,2.5,13.9,22.3,-0.3,1.3,1.0,.033,-1.8,0.3,-1.5,0.2
47,47,39,Bradley Beal,SG,25,WAS,66,2480,20.5,.581,.367,.270,3.3,12.0,7.6,23.8,1.8,1.7,11.4,28.3,4.6,1.4,6.0,.117,3.6,-1.0,2.6,2.8
48,48,40,Malik Beasley,SG,22,DEN,65,1561,14.9,.624,.541,.083,2.0,9.7,5.8,7.5,1.3,0.5,6.1,17.7,3.1,1.3,4.4,.134,2.1,-1.9,0.2,0.9
49,49,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
50,50,41,Michael Beasley,PF,30,LAL,26,277,16.0,.532,.111,.255,5.0,17.1,11.2,14.7,1.5,2.9,13.7,29.6,-0.1,0.3,0.2,.038,-3.7,-0.6,-4.2,-0.2
51,51,42,Marco Belinelli,SG,32,SAS,64,1472,12.9,.568,.579,.197,1.0,10.6,5.9,10.9,1.0,0.5,8.6,19.8,1.6,0.7,2.4,.077,1.1,-2.5,-1.4,0.2
52,52,43,Jordan Bell,C,24,GSW,54,627,13.9,.546,.014,.243,8.2,17.2,12.9,12.8,1.4,5.5,15.4,12.8,0.7,0.8,1.5,.117,-2.2,2.9,0.7,0.4
53,53,44,DeAndre' Bembry,SG,24,ATL,67,1626,9.7,.491,.289,.200,2.6,16.3,9.3,14.4,2.3,2.0,17.3,16.7,-1.1,1.4,0.3,.010,-3.7,1.0,-2.7,-0.3
54,54,45,Dragan Bender,PF,21,PHO,31,407,8.0,.501,.584,.267,4.6,20.5,12.3,8.9,0.8,1.0,15.1,14.0,-0.1,0.2,0.0,.005,-3.7,-1.5,-5.2,-0.3
55,55,46,Davis Bertans,PF,26,SAS,60,1288,13.7,.660,.740,.130,1.8,15.9,8.9,7.5,1.1,1.9,8.5,13.6,2.3,1.1,3.4,.126,2.1,-0.3,1.8,1.2
56,56,47,Patrick Beverley,PG,30,LAC,67,1832,11.5,.557,.592,.284,3.8,15.6,9.9,17.6,1.5,1.6,14.1,11.9,2.2,1.9,4.1,.107,0.9,1.5,2.4,2.0
57,57,48,Khem Birch,C,26,ORL,35,415,18.1,.660,.012,.506,11.5,19.7,15.5,8.2,1.3,4.4,11.4,12.1,1.1,0.6,1.7,.201,-0.6,2.8,2.2,0.4
58,58,49,Bismack Biyombo,C,26,CHO,38,541,15.4,.623,.000,.680,10.6,24.6,17.6,5.1,0.7,5.9,13.9,12.0,1.0,0.7,1.7,.148,-2.4,2.2,-0.2,0.2
59,59,50,Nemanja Bjelica,PF,30,SAC,61,1412,15.5,.590,.453,.152,6.9,18.6,12.7,11.4,1.5,3.1,12.9,16.7,1.9,1.7,3.6,.122,0.8,1.6,2.4,1.6
60,60,51,Antonio Blakeney,SG,22,CHI,45,616,11.9,.509,.243,.188,1.1,11.2,6.1,6.7,0.8,1.1,7.6,25.3,-0.4,0.2,-0.2,-0.013,-4.1,-3.9,-8.0,-0.9
61,61,52,Eric Bledsoe,PG,29,MIL,64,1867,19.3,.579,.393,.227,4.0,12.1,8.2,26.9,2.3,1.0,13.1,22.6,3.8,3.1,6.9,.177,2.6,0.9,3.5,2.6
62,62,53,Jaron Blossomgame,SF,25,CLE,27,439,10.2,.510,.368,.123,6.3,19.0,12.4,4.3,0.8,1.6,9.0,12.2,0.2,0.1,0.3,.031,-3.1,-1.4,-4.5,-0.3
63,63,54,Bogdan Bogdanovic,SG,26,SAC,53,1515,14.0,.525,.431,.193,1.7,11.8,6.7,19.9,1.8,0.7,11.4,22.7,0.8,1.3,2.1,.066,0.3,-0.9,-0.5,0.6
64,64,55,Bojan Bogdanovic,SF,29,IND,66,2098,16.0,.618,.373,.281,1.6,12.4,7.1,8.7,1.3,0.0,10.0,21.9,3.4,2.4,5.7,.132,1.4,-1.4,0.0,1.1
65,65,56,Jonah Bolden,PF,23,PHI,35,476,12.5,.601,.568,.178,7.6,20.5,14.3,8.4,1.3,5.4,19.6,13.9,0.2,0.7,1.0,.100,-1.4,2.5,1.1,0.4
66,66,57,Isaac Bonga,PG,19,LAL,10,38,9.7,.358,.200,.900,8.4,13.3,10.9,22.1,3.7,2.1,22.3,19.6,-0.1,0.1,0.0,-0.028,-6.1,2.4,-3.8,0.0
67,67,58,Devin Booker,SG,22,PHO,52,1813,18.7,.573,.338,.339,1.9,11.1,6.4,32.9,1.2,0.5,15.6,31.7,2.0,0.3,2.3,.061,3.0,-2.9,0.0,0.9
68,68,59,Chris Boucher,PF,26,TOR,20,104,26.6,.561,.519,.241,13.6,19.5,16.6,0.0,1.4,15.9,3.2,25.3,0.3,0.3,0.5,.244,-0.7,1.2,0.5,0.1
69,69,60,Avery Bradley,SG,28,TOT,60,1815,7.5,.493,.396,.083,2.5,7.5,5.0,11.6,1.0,0.7,12.4,15.9,-0.6,1.1,0.4,.012,-1.8,-0.8,-2.6,-0.3
70,70,60,Avery Bradley,SG,28,LAC,49,1463,5.6,.464,.410,.060,2.6,6.7,4.7,8.9,0.9,0.9,12.4,14.2,-1.0,0.7,-0.3,-0.008,-2.4,-0.6,-3.0,-0.4
71,71,60,Avery Bradley,SG,28,MEM,11,352,15.3,.572,.356,.151,1.9,10.8,6.3,22.9,1.7,0.0,12.4,22.8,0.3,0.4,0.7,.094,0.7,-1.5,-0.9,0.1
72,72,Rk,Player,Pos,Age,Tm,G,MP,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP
73,73,61,Tony Bradley,C,21,UTA,1,9,-10.4,.000,.000,.000,24.3,11.9,18.1,0.0,0.0,0.0,25.0,19.0,-0.1,0.0,-0.1,-0.342,-17.4,-5.6,-22.9,0.0
74,74,62,Corey Brewer,SF,32,TOT,14,243,10.4,.519,.377,.286,2.2,9.0,5.6,10.1,2.7,1.3,10.3,16.6,0.1,0.3,0.3,.069,-2.2,-0.1,-2.2,0.0
75,75,62,Corey Brewer,SF,32,PHI,7,140,10.8,.484,.286,.265,3.1,9.6,6.5,10.0,4.0,1.1,12.8,18.8,-0.1,0.2,0.1,.046,-3.2,1.0,-2.2,0.0
76,76,62,Corey Brewer,SF,32,SAC,7,103,9.9,.579,.536,.321,1.0,8.1,4.5,10.2,0.9,1.7,5.9,13.6,0.2,0.1,0.2,.099,-0.8,-1.5,-2.3,0.0
77,77,63,Mikal Bridges,SF,22,PHO,67,1870,11.3,.566,.583,.206,2.7,10.0,6.3,9.8,2.7,1.5,10.4,12.3,1.5,1.1,2.6,.067,-0.2,0.6,0.4,1.1
78,78,64,Miles Bridges,SF,20,CHO,64,1224,12.1,.536,.388,.178,3.9,16.5,10.1,6.8,1.4,2.6,8.9,15.4,0.7,1.1,1.8,.071,-1.9,0.2,-1.7,0.1
79,79,65,Isaiah Briscoe,PG,22,ORL,39,559,6.8,.455,.246,.188,0.9,13.4,7.1,21.3,1.0,0.3,17.2,14.1,-0.3,0.5,0.2,.020,-5.0,-0.6,-5.6,-0.5
80,80,66,Ryan Broekhoff,SG,28,DAL,30,253,8.9,.555,.753,.027,1.3,11.8,6.6,8.7,0.6,1.0,8.7,13.7,0.2,0.2,0.3,.060,-1.7,-1.6,-3.3,-0.1
81,81,67,Malcolm Brogdon,SG,26,MIL,61,1782,18.3,.619,.323,.204,4.0,12.0,8.2,16.3,1.2,0.6,9.9,20.7,4.4,2.3,6.7,.181,2.3,-0.3,2.0,1.8
82,82,68,Dillon Brooks,SF,23,MEM,18,330,7.7,.499,.328,.246,3.0,7.7,5.3,7.7,1.5,1.2,12.3,21.1,-0.3,0.3,0.0,.002,-4.2,-1.6,-5.8,-0.3
83,83,69,MarShon Brooks,SG,30,MEM,29,387,11.7,.518,.320,.195,3.4,9.8,6.6,11.1,1.2,1.0,10.3,23.8,-0.2,0.4,0.2,.024,-2.9,-2.4,-5.3,-0.3
84,84,70,Bruce Brown,SG,22,DET,57,1151,6.5,.457,.293,.188,3.6,11.4,7.4,8.7,1.1,2.1,11.9,12.2,-0.3,1.2,0.9,.039,-3.9,1.6,-2.4,-0.1
85,85,71,Jaylen Brown,SG,22,BOS,62,1600,12.9,.531,.347,.238,3.8,14.3,9.0,7.7,1.8,1.6,10.3,22.3,0.2,2.2,2.3,.070,-2.0,-0.3,-2.3,-0.1
86,86,72,Lorenzo Brown,PG,28,TOR,26,212,6.4,.380,.394,.042,2.6,13.1,7.9,17.3,2.7,1.9,18.1,17.8,-0.5,0.3,-0.1,-0.028,-5.7,1.5,-4.1,-0.1
87,87,73,Sterling Brown,SG,23,MIL,48,769,10.3,.563,.521,.117,3.4,13.9,8.9,10.1,1.2,0.5,12.5,14.0,0.6,1.1,1.6,.100,-1.5,0.0,-1.4,0.1
88,88,74,Troy Brown,SF,19,WAS,36,303,12.7,.463,.269,.231,5.3,18.0,11.5,20.2,1.7,0.6,8.0,17.4,0.2,0.2,0.4,.059,-2.4,-1.1,-3.4,-0.1
89,89,75,Jalen Brunson,PG,22,DAL,57,1112,11.6,.526,.322,.192,1.8,9.9,5.8,21.5,1.3,0.2,12.7,18.4,0.6,0.8,1.4,.060,-1.7,-1.5,-3.1,-0.3
90,90,76,Thomas Bryant,C,21,WAS,56,1067,21.5,.683,.183,.270,7.9,25.2,16.4,9.6,0.9,3.9,9.1,17.4,3.2,1.0,4.2,.189,1.3,0.5,1.8,1.0
91,91,77,Reggie Bullock,SG,27,TOT,55,1679,10.4,.561,.662,.144,1.3,8.8,5.0,10.7,0.9,0.5,9.7,15.8,1.5,1.3,2.7,.079,0.2,-0.9,-0.7,0.6
92,92,77,Reggie Bullock,SG,27,DET,44,1355,11.0,.569,.667,.145,1.6,8.5,5.0,11.9,0.9,0.3,10.3,16.6,1.4,1.0,2.4,.087,0.8,-1.0,-0.2,0.6
93,93,77,Reggie Bullock,SG,27,LAL,11,324,7.8,.521,.635,.141,0.3,9.7,5.1,5.5,1.0,1.5,6.2,12.3,0.1,0.2,0.3,.045,-2.1,-0.3,-2.5,0.0
94,94,78,Trey Burke,PG,26,TOT,44,844,15.7,.503,.256,.220,2.7,7.7,5.1,22.7,1.6,0.5,8.0,25.3,0.6,0.3,1.0,.055,-0.1,-2.9,-3.0,-0.2
95,95,78,Trey Burke,PG,26,NYK,33,689,15.7,.496,.240,.209,2.2,7.4,4.7,23.3,1.5,0.6,6.9,25.8,0.5,0.2,0.7,.048,0.0,-3.2,-3.2,-0.2
96,96,78,Trey Burke,PG,26,DAL,11,155,15.5,.542,.344,.281,4.9,9.0,6.9,19.9,2.2,0.0,13.3,22.9,0.1,0.1,0.3,.085,-0.4,-1.5,-1.9,0.0
97,97,79,Alec Burks,SG,27,TOT,59,1337,12.7,.523,.355,.300,2.3,17.0,9.4,13.8,1.2,1.3,10.6,19.3,0.7,0.7,1.4,.051,-1.5,-0.8,-2.3,-0.1
98,98,79,Alec Burks,SG,27,UTA,17,269,12.6,.547,.377,.333,0.8,10.0,5.4,11.4,1.1,1.2,10.3,23.1,0.2,0.3,0.4,.080,-2.1,-1.7,-3.7,-0.1
99,99,79,Alec Burks,SG,27,CLE,34,979,13.2,.517,.350,.288,2.8,18.9,10.6,15.2,1.3,1.4,10.7,19.2,0.6,0.3,0.9,.044,-1.1,-0.7,-1.7,0.1
100,100,79,Alec Burks,SG,27,SAC,8,89,7.6,.495,.313,.313,1.1,16.4,8.6,5.5,1.6,1.0,9.9,9.4,0.0,0.1,0.1,.047,-4.5,0.5,-4.0,0.0
